,Company name,Symbol,Stock price (USD),Sector,Industry,Market
604,Sunnova Energy International,NOVA,$37.88,Distribution Services,Wholesale Distributors,NYSE
605,ServiceNow,NOW,$660.41,Technology Services,Information Technology Services,NYSE
606,NeoPhotonics,NPTN,$9.29,Electronic Technology,Electronic Components,NYSE
607,Nerdy,NRDY,$8.80,Technology Services,Internet Software/Services,NYSE
608,NRG Energy,NRG,$40.78,Utilities,Electric Utilities,NYSE
609,New Residential Investment,NRZ,$11.33,Finance,Real Estate Investment Trusts,NYSE
610,Norfolk Southern Corporation,NSC,$275.04,Transportation,Railroads,NYSE
611,NetApp,NTAP,$91.71,Electronic Technology,Computer Peripherals,NASDAQ
612,Natura Holding S.A.,NTCO,$15.49,Consumer Non-Durables,Household/Personal Care,NYSE
613,NetEase,NTES,$97.29,Technology Services,Internet Software/Services,NASDAQ
614,Nutanix,NTNX,$35.25,Technology Services,Packaged Software,NASDAQ
615,Northern Trust Corporation,NTRS,$122.13,Finance,Regional Banks,NASDAQ
616,Nucor,NUE,$100.67,Non-Energy Minerals,Steel,NYSE
617,NuVasive,NUVA,$55.60,Health Technology,Medical Specialties,NASDAQ
618,Novavax,NVAX,$165.09,Health Technology,Biotechnology,NASDAQ
619,NovoCure,NVCR,$110.80,Health Technology,Medical Specialties,NASDAQ
620,Nvidia,NVDA,$220.25,Electronic Technology,Semiconductors,NASDAQ
621,Novo Nordisk,NVO,$104.08,Health Technology,Pharmaceuticals: Major,NYSE
622,NVR,NVR,"$4,987.12",Consumer Durables,Homebuilding,NYSE
623,Novartis AG,NVS,$82.63,Health Technology,Pharmaceuticals: Major,NYSE
624,Invitae Corporation,NVTA,$27.07,Health Services,Medical/Nursing Services,NYSE
625,Newell Rubbermaid,NWL,$22.54,Producer Manufacturing,Industrial Conglomerates,NASDAQ
626,News Corporation,NWSA,$23.79,Consumer Services,Publishing: Newspapers,NASDAQ
627,New York Community Bancorp,NYCB,$14.08,Finance,Savings Banks,NYSE
628,New York Mortgage Trust,NYMT,$4.36,Finance,Real Estate Investment Trusts,NASDAQ
629,New York Times,NYT,$53.60,Consumer Services,Publishing: Newspapers,NYSE
630,Realty Income,O,$69.78,Finance,Real Estate Investment Trusts,NYSE
631,Office Depot,ODP,$45.00,Retail Trade,Specialty Stores,NASDAQ
632,Organon & Co.,OGN,$34.76,Health Technology,Pharmaceuticals: Major,NYSE
633,Oneok,OKE,$65.97,Industrial Services,Oil & Gas Pipelines,NYSE
634,Okta,OKTA,$258.03,Technology Services,Packaged Software,NASDAQ
635,Olin,OLN,$52.17,Process Industries,Industrial Specialties,NYSE
636,Omnicom Group,OMC,$76.90,Commercial Services,Advertising/Marketing Services,NYSE
637,ON Semiconductor,ON,$43.91,Electronic Technology,Semiconductors,NASDAQ
638,Opendoor Technologies,OPEN,$24.46,Technology Services,Internet Software/Services,NASDAQ
639,OppFi,OPFI,$7.15,Technology Services,Internet Software/Services,NYSE
640,Opko Health,OPK,$3.72,Health Technology,Pharmaceuticals: Major,NASDAQ
641,Ormat Technologies,ORA,$71.51,Utilities,Alternative Power Generation,NYSE
642,Oracle,ORCL,$95.88,Technology Services,Packaged Software,NYSE
643,Origin Materials,ORGN,$6.16,Process Industries,Chemicals: Specialty,NASDAQ
644,O’Reilly Auto Parts,ORLY,$638.42,Retail Trade,Specialty Stores,NASDAQ
645,Oscar Health Inc.,OSCR,$14.94,Health Services,Hospital/Nursing Management,NYSE
646,Overstock.com,OSTK,$77.99,Retail Trade,Internet Retail,NASDAQ
647,Otis Worldwide Corp,OTIS,$83.58,Producer Manufacturing,Building Products,NYSE
648,Oatly,OTLY,$14.26,Consumer Non-Durables,Food: Major Diversified,NASDAQ
649,Encana Corporation,OVV,$40.48,Energy Minerals,Oil & Gas Production,NYSE
650,Occidental,OXY,$33.52,Energy Minerals,Oil & Gas Production,NYSE
651,Ozon,OZON,$48.60,Retail Trade,Internet Retail,NASDAQ
652,Plains All American Pipeline,PAA,$11.19,Industrial Services,Oil & Gas Pipelines,NASDAQ
653,Pan American Silver Corp,PAAS,$25.10,Non-Energy Minerals,Precious Metals,NASDAQ
654,Pacific Biosciences of California,PACB,$24.11,Health Technology,Biotechnology,NASDAQ
655,Pampa Energia SA,PAM,$20.00,Utilities,Electric Utilities,NYSE
656,Palo Alto Networks,PANW,$510.05,Electronic Technology,Computer Communications,NYSE
657,UiPath,PATH,$49.77,Technology Services,Packaged Software,NYSE
